Zeit,Vollständiger Name,Betroffene/r Nutzer/in,Ereigniskontext,Komponente,Ereignisname,Beschreibung,Herkunft,IP-Adresse,Abschlussnote
"09. April 2023, 00:03:00",27KA9H,-,Link/URL: xxx,Link/URL,Test Satz erfolgreich,The user with id 27KA9H created xxx.,web,43.115.46.129,1.6
"09. April 2023, 01:21:00",25NEFW,-,Datei: xxx,Datei,Das ist ein Beispiel,The user with id 25NEFW viewed the course with id 23946.,web,22.252.23.174,1.3
"09. April 2023, 04:51:00",8IVCK,-,Datei: xxx,Datei,Ein weiterer Satz,The user with id 8IVCK updated xxx.,web,229.215.239.183,3.5
"09. April 2023, 05:42:00",297DRA,-,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 297DRA updated xxx.,web,75.104.45.32,3.2
"09. April 2023, 05:59:00",13ESGP,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 13ESGP created xxx.,ws,73.28.117.167,3.4
"09. April 2023, 07:11:00",73D0B,-,Abstimmung: xxx,Logdaten,Das ist ein Beispiel,The user with id 73D0B updated xxx.,web,161.106.110.223,2.5
"09. April 2023, 08:02:00",372V0,-,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 372V0 created xxx.,web,43.62.43.195,2.3
"09. April 2023, 08:40:00",1W3IK,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 1W3IK created xxx.,web,121.222.7.20,3.5
"09. April 2023, 09:17:00",19WM89,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 19WM89 created xxx.,web,179.0.54.180,2.9
"09. April 2023, 09:54:00",9DYIO,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 9DYIO updated xxx.,web,198.66.12.92,3.4
"09. April 2023, 14:11:00",260143,-,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 260143 viewed the course with id 23946.,web,190.29.202.49,3.3
"09. April 2023, 14:12:00",24SGPA,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 24SGPA updated xxx.,web,146.253.0.191,2.9
"09. April 2023, 18:37:00",372V0,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 372V0 viewed the course with id 23946.,web,43.62.43.195,2.1
"09. April 2023, 19:51:00",27KA9H,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 27KA9H created xxx.,web,43.115.46.129,2.1
"09. April 2023, 20:38:00",73D0B,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 73D0B created xxx.,web,161.106.110.223,2.0
"09. April 2023, 21:22:00",26CC63,-,Link/URL: xxx,Link/URL,Test Satz erfolgreich,The user with id 26CC63 updated xxx.,web,176.170.1.63,1.8
"09. April 2023, 22:20:00",20GB9S,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 20GB9S created xxx.,ws,53.246.12.211,1.7
"09. April 2023, 23:43:00",73D0B,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 73D0B viewed the course with id 23946.,web,161.106.110.223,2.3
"09. April 2023, 23:58:00",11RP4P,-,Aufgabe: Lösungen,Logdaten,Test Satz erfolgreich,The user with id 11RP4P viewed the course with id 23946.,web,60.84.143.218,3.4
"09. May 2023, 00:25:00",19WM89,13ESGP,Datei: xxx,Datei,Ein weiterer Satz,The user with id 19WM89 viewed the course with id 23946.,web,179.0.54.180,2.8
"09. May 2023, 04:26:00",2OAJI,-,Datei: xxx,Datei,Ein weiterer Satz,The user with id 2OAJI viewed the course with id 23946.,cli,179.49.49.55,1.2
"09. May 2023, 04:42:00",26O0KW,20GB9S,Kurs: Statistik,System,Ein weiterer Satz,The user with id 26O0KW created xxx.,web,65.136.205.127,3.4
"09. May 2023, 05:54:00",4Z0MB,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 4Z0MB created xxx.,ws,65.32.11.49,2.9
"09. May 2023, 07:51:00",24SGPA,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 24SGPA viewed the course with id 23946.,web,146.253.0.191,2.7
"09. May 2023, 08:02:00",2160DU,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 2160DU updated xxx.,web,217.47.45.224,2.3
"09. May 2023, 09:52:00",15R24X,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 15R24X viewed the course with id 23946.,web,156.57.138.4,2.8
"09. May 2023, 10:28:00",7MZMO,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 7MZMO created xxx.,web,247.247.166.211,3.2
"09. May 2023, 11:20:00",372V0,-,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 372V0 viewed the course with id 23946.,web,43.62.43.195,2.4
"09. May 2023, 11:48:00",15R24X,-,Datei: xxx,Datei,Das ist ein Beispiel,The user with id 15R24X updated xxx.,ws,69.76.3.175,3.1
"09. May 2023, 12:37:00",19I42S,24SGPA,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 19I42S updated xxx.,web,243.22.106.4,3.3
"09. May 2023, 13:06:00",13ESGP,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 13ESGP updated xxx.,web,193.223.231.64,3.3
"09. May 2023, 15:27:00",297DRA,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 297DRA created xxx.,web,75.104.45.32,3.0
"09. May 2023, 17:01:00",14LQJV,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 14LQJV updated xxx.,web,73.253.31.164,2.7
"09. May 2023, 18:15:00",73D0B,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 73D0B viewed the course with id 23946.,web,161.106.110.223,1.8
"09. May 2023, 18:48:00",13ESGP,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 13ESGP created xxx.,web,193.223.231.64,3.3
"09. May 2023, 20:27:00",2160DU,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 2160DU created xxx.,web,217.47.45.224,1.6
"10. April 2023, 02:10:00",260143,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 260143 created xxx.,web,190.29.202.49,2.7
"10. April 2023, 02:35:00",372V0,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 372V0 created xxx.,web,43.62.43.195,2.5
"10. April 2023, 03:07:00",15R24X,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 15R24X updated xxx.,web,156.57.138.4,2.8
"10. April 2023, 04:21:00",4DMMJ,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 4DMMJ created xxx.,web,4.100.75.178,5.0
"10. April 2023, 05:30:00",14LQJV,-,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 14LQJV created xxx.,web,73.253.31.164,3.2
"10. April 2023, 05:48:00",14LQJV,-,Abstimmung: xxx,Logdaten,Das ist ein Beispiel,The user with id 14LQJV updated xxx.,web,73.253.31.164,2.7
"10. April 2023, 06:59:00",26CC63,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 26CC63 updated xxx.,web,176.170.1.63,2.1
"10. April 2023, 07:35:00",1W3IK,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 1W3IK updated xxx.,web,121.222.7.20,2.9
"10. April 2023, 08:33:00",372V0,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 372V0 updated xxx.,cli,43.62.43.195,2.4
"10. April 2023, 09:43:00",49DWY,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 49DWY viewed the course with id 23946.,web,217.217.223.243,1.6
"10. April 2023, 14:35:00",5802T,-,Datei: xxx,Datei,Das ist ein Beispiel,The user with id 5802T viewed the course with id 23946.,web,16.153.61.76,1.9
"10. April 2023, 17:00:00",7MZMO,-,Datei: xxx,Datei,Ein weiterer Satz,The user with id 7MZMO created xxx.,web,247.247.166.211,3.5
"10. April 2023, 17:13:00",14WQ3Q,-,Datei: xxx,Datei,Das ist ein Beispiel,The user with id 14WQ3Q viewed the course with id 23946.,web,2.242.172.221,3.4
"10. April 2023, 17:14:00",19WM89,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 19WM89 created xxx.,web,179.0.54.180,3.1
"10. April 2023, 17:52:00",11RP4P,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 11RP4P created xxx.,cli,60.84.143.218,3.2
"10. April 2023, 17:59:00",2OAJI,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 2OAJI viewed the course with id 23946.,web,179.49.49.55,1.4
"10. April 2023, 19:03:00",14WQ3Q,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 14WQ3Q updated xxx.,web,2.242.172.221,2.6
"10. April 2023, 19:51:00",73D0B,-,Link/URL: xxx,Link/URL,Ein weiterer Satz,The user with id 73D0B updated xxx.,web,161.106.110.223,1.7
"10. April 2023, 23:55:00",26CC63,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 26CC63 created xxx.,web,176.170.1.63,2.4
"10. May 2023, 00:13:00",73D0B,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 73D0B updated xxx.,ws,147.67.67.74,1.8
"10. May 2023, 00:23:00",26CC63,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 26CC63 created xxx.,web,176.170.1.63,2.4
"10. May 2023, 03:00:00",19WM89,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 19WM89 created xxx.,web,179.0.54.180,3.2
"10. May 2023, 04:08:00",9O0I9,24SGPA,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 9O0I9 updated xxx.,web,118.86.100.221,3.0
"10. May 2023, 04:58:00",8IVCK,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 8IVCK created xxx.,web,229.215.239.183,3.4
"10. May 2023, 05:09:00",260143,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 260143 updated xxx.,web,190.29.202.49,3.4
"10. May 2023, 05:59:00",20GB9S,-,Aufgabe: Lösungen,Logdaten,Test Satz erfolgreich,The user with id 20GB9S updated xxx.,web,152.124.142.94,1.6
"10. May 2023, 11:31:00",4DMMJ,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 4DMMJ created xxx.,web,4.100.75.178,4.6
"10. May 2023, 11:59:00",8IVCK,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 8IVCK updated xxx.,web,229.215.239.183,2.8
"10. May 2023, 12:56:00",11RP4P,-,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 11RP4P viewed the course with id 23946.,web,60.84.143.218,3.2
"10. May 2023, 14:44:00",2160DU,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 2160DU viewed the course with id 23946.,web,217.47.45.224,2.1
"10. May 2023, 15:26:00",24SGPA,-,Link/URL: xxx,Link/URL,Test Satz erfolgreich,The user with id 24SGPA viewed the course with id 23946.,web,146.253.0.191,2.7
"10. May 2023, 16:12:00",9DYIO,-,Link/URL: xxx,Link/URL,Ein weiterer Satz,The user with id 9DYIO created xxx.,web,198.66.12.92,2.8
"10. May 2023, 20:34:00",8IVCK,-,Datei: xxx,Datei,Das ist ein Beispiel,The user with id 8IVCK updated xxx.,web,229.215.239.183,3.5
"11. April 2023, 00:21:00",24SGPA,-,Datei: xxx,Datei,Das ist ein Beispiel,The user with id 24SGPA updated xxx.,web,146.253.0.191,3.3
"11. April 2023, 01:31:00",8IVCK,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 8IVCK created xxx.,web,229.215.239.183,3.5
"11. April 2023, 01:39:00",18E2O1,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 18E2O1 updated xxx.,web,2.80.53.242,4.8
"11. April 2023, 02:44:00",2OAJI,-,Abstimmung: xxx,Logdaten,Test Satz erfolgreich,The user with id 2OAJI created xxx.,web,179.49.49.55,1.1
"11. April 2023, 04:26:00",4Z0MB,24SGPA,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 4Z0MB created xxx.,web,200.131.31.148,3.2
"11. April 2023, 08:09:00",14WQ3Q,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 14WQ3Q created xxx.,web,2.242.172.221,3.5
"11. April 2023, 08:50:00",20GB9S,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 20GB9S created xxx.,ws,138.42.74.152,1.6
"11. April 2023, 11:23:00",18E2O1,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 18E2O1 viewed the course with id 23946.,web,2.80.53.242,4.7
"11. April 2023, 11:50:00",19I42S,-,Abstimmung: xxx,Logdaten,Test Satz erfolgreich,The user with id 19I42S created xxx.,ws,96.225.170.91,3.3
"11. April 2023, 11:58:00",13ESGP,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 13ESGP updated xxx.,web,193.223.231.64,3.5
"11. April 2023, 12:13:00",49DWY,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 49DWY viewed the course with id 23946.,cli,217.217.223.243,2.3
"11. April 2023, 12:50:00",2OAJI,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 2OAJI viewed the course with id 23946.,web,179.49.49.55,1.1
"11. April 2023, 12:52:00",14LQJV,-,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 14LQJV viewed the course with id 23946.,web,73.253.31.164,3.4
"11. April 2023, 13:28:00",7MZMO,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 7MZMO updated xxx.,web,247.247.166.211,2.7
"11. April 2023, 13:29:00",14WQ3Q,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 14WQ3Q updated xxx.,ws,97.181.127.52,3.4
"11. April 2023, 14:12:00",26O0KW,-,Link/URL: xxx,Link/URL,Ein weiterer Satz,The user with id 26O0KW updated xxx.,web,65.136.205.127,2.7
"11. April 2023, 14:15:00",1W3IK,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 1W3IK updated xxx.,ws,93.58.0.20,3.2
"11. April 2023, 14:35:00",372V0,9DYIO,Link/URL: xxx,Link/URL,Test Satz erfolgreich,The user with id 372V0 created xxx.,web,43.62.43.195,1.7
"11. April 2023, 15:10:00",73D0B,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 73D0B viewed the course with id 23946.,web,161.106.110.223,2.1
"11. April 2023, 17:33:00",26CC63,-,Link/URL: xxx,Link/URL,Ein weiterer Satz,The user with id 26CC63 created xxx.,web,176.170.1.63,2.5
"11. April 2023, 18:09:00",297DRA,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 297DRA viewed the course with id 23946.,web,75.104.45.32,3.4
"11. April 2023, 18:17:00",260143,-,Abstimmung: xxx,Logdaten,Das ist ein Beispiel,The user with id 260143 updated xxx.,web,190.29.202.49,2.6
"11. April 2023, 19:06:00",27KA9H,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 27KA9H viewed the course with id 23946.,web,43.115.46.129,2.3
"11. April 2023, 20:15:00",14LQJV,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 14LQJV viewed the course with id 23946.,web,73.253.31.164,2.6
"11. April 2023, 22:30:00",4Z0MB,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 4Z0MB viewed the course with id 23946.,cli,200.131.31.148,3.2
"11. May 2023, 01:34:00",2OAJI,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 2OAJI created xxx.,web,179.49.49.55,1.3
"11. May 2023, 03:18:00",8IVCK,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 8IVCK viewed the course with id 23946.,web,229.215.239.183,3.0
"11. May 2023, 03:51:00",13ESGP,2OAJI,Datei: xxx,Datei,Ein weiterer Satz,The user with id 13ESGP updated xxx.,web,193.223.231.64,2.6
"11. May 2023, 04:16:00",2OAJI,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 2OAJI viewed the course with id 23946.,cli,179.49.49.55,1.3
"11. May 2023, 07:44:00",13ESGP,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 13ESGP updated xxx.,cli,193.223.231.64,3.3
"11. May 2023, 09:37:00",9DYIO,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 9DYIO updated xxx.,web,198.66.12.92,3.4
"11. May 2023, 10:03:00",14LQJV,-,Link/URL: xxx,Link/URL,Test Satz erfolgreich,The user with id 14LQJV viewed the course with id 23946.,web,73.253.31.164,2.6
"11. May 2023, 10:36:00",1W3IK,-,Aufgabe: Lösungen,Logdaten,Test Satz erfolgreich,The user with id 1W3IK updated xxx.,web,121.222.7.20,2.9
"11. May 2023, 10:58:00",20GB9S,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 20GB9S created xxx.,web,152.124.142.94,2.3
"11. May 2023, 11:16:00",20GB9S,-,Datei: xxx,Datei,Das ist ein Beispiel,The user with id 20GB9S created xxx.,web,152.124.142.94,2.1
"11. May 2023, 14:03:00",372V0,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 372V0 viewed the course with id 23946.,web,43.62.43.195,1.7
"11. May 2023, 15:44:00",20GB9S,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 20GB9S updated xxx.,ws,158.53.199.9,1.8
"11. May 2023, 17:47:00",73D0B,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 73D0B created xxx.,cli,161.106.110.223,1.8
"11. May 2023, 18:32:00",1W3IK,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 1W3IK created xxx.,web,121.222.7.20,3.0
"11. May 2023, 18:57:00",5802T,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 5802T created xxx.,web,16.153.61.76,2.2
"11. May 2023, 19:13:00",11RP4P,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 11RP4P created xxx.,ws,225.34.92.71,3.3
"11. May 2023, 22:38:00",372V0,-,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 372V0 viewed the course with id 23946.,web,43.62.43.195,2.2
"12. April 2023, 00:16:00",14WQ3Q,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 14WQ3Q viewed the course with id 23946.,ws,116.16.246.84,3.0
"12. April 2023, 00:18:00",297DRA,-,Link/URL: xxx,Link/URL,Ein weiterer Satz,The user with id 297DRA viewed the course with id 23946.,web,75.104.45.32,3.2
"12. April 2023, 01:43:00",19I42S,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 19I42S viewed the course with id 23946.,web,243.22.106.4,3.4
"12. April 2023, 02:05:00",2160DU,-,Abstimmung: xxx,Logdaten,Das ist ein Beispiel,The user with id 2160DU viewed the course with id 23946.,cli,217.47.45.224,1.7
"12. April 2023, 02:14:00",2OAJI,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 2OAJI viewed the course with id 23946.,ws,178.202.230.78,1.4
"12. April 2023, 02:39:00",372V0,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 372V0 updated xxx.,web,43.62.43.195,2.0
"12. April 2023, 03:59:00",27KA9H,-,Datei: xxx,Datei,Ein weiterer Satz,The user with id 27KA9H updated xxx.,web,43.115.46.129,2.5
"12. April 2023, 05:59:00",7MZMO,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 7MZMO created xxx.,web,247.247.166.211,3.4
"12. April 2023, 09:22:00",13ESGP,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 13ESGP created xxx.,web,193.223.231.64,2.9
"12. April 2023, 09:40:00",5802T,-,Link/URL: xxx,Link/URL,Ein weiterer Satz,The user with id 5802T viewed the course with id 23946.,web,16.153.61.76,2.0
"12. April 2023, 10:32:00",25NEFW,-,Datei: xxx,Datei,Das ist ein Beispiel,The user with id 25NEFW viewed the course with id 23946.,web,22.252.23.174,1.3
"12. April 2023, 10:33:00",73D0B,-,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 73D0B updated xxx.,web,161.106.110.223,2.2
"12. April 2023, 12:05:00",26CC63,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 26CC63 viewed the course with id 23946.,web,176.170.1.63,1.9
"12. April 2023, 12:05:00",2160DU,-,Abstimmung: xxx,Logdaten,Test Satz erfolgreich,The user with id 2160DU updated xxx.,web,217.47.45.224,1.7
"12. April 2023, 13:43:00",7MZMO,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 7MZMO viewed the course with id 23946.,web,247.247.166.211,2.7
"12. April 2023, 14:09:00",372V0,-,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 372V0 viewed the course with id 23946.,web,43.62.43.195,2.4
"12. April 2023, 14:31:00",8IVCK,-,Aufgabe: Lösungen,Logdaten,Test Satz erfolgreich,The user with id 8IVCK created xxx.,web,229.215.239.183,3.4
"12. April 2023, 18:05:00",26CC63,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 26CC63 updated xxx.,web,176.170.1.63,1.8
"12. April 2023, 19:46:00",73D0B,-,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 73D0B created xxx.,web,161.106.110.223,2.4
"12. April 2023, 20:23:00",1W3IK,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 1W3IK updated xxx.,web,121.222.7.20,3.0
"12. April 2023, 21:32:00",8IVCK,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 8IVCK created xxx.,web,229.215.239.183,2.8
"12. April 2023, 21:35:00",27KA9H,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 27KA9H updated xxx.,web,43.115.46.129,1.8
"12. April 2023, 22:02:00",24SGPA,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 24SGPA viewed the course with id 23946.,web,146.253.0.191,2.9
"12. May 2023, 00:16:00",14LQJV,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 14LQJV created xxx.,web,73.253.31.164,3.0
"12. May 2023, 00:38:00",24SGPA,-,Abstimmung: xxx,Logdaten,Das ist ein Beispiel,The user with id 24SGPA viewed the course with id 23946.,web,146.253.0.191,3.4
"12. May 2023, 00:58:00",5802T,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 5802T updated xxx.,web,16.153.61.76,2.5
"12. May 2023, 04:15:00",5802T,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 5802T updated xxx.,web,16.153.61.76,1.6
"12. May 2023, 05:34:00",15R24X,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 15R24X created xxx.,web,156.57.138.4,3.1
"12. May 2023, 06:18:00",26O0KW,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 26O0KW viewed the course with id 23946.,web,65.136.205.127,3.2
"12. May 2023, 06:30:00",19WM89,-,Datei: xxx,Datei,Ein weiterer Satz,The user with id 19WM89 created xxx.,web,179.0.54.180,3.3
"12. May 2023, 08:38:00",14LQJV,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 14LQJV updated xxx.,web,73.253.31.164,3.1
"12. May 2023, 09:18:00",26CC63,-,Link/URL: xxx,Link/URL,Test Satz erfolgreich,The user with id 26CC63 updated xxx.,web,176.170.1.63,2.3
"12. May 2023, 11:23:00",15R24X,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 15R24X updated xxx.,web,156.57.138.4,2.8
"12. May 2023, 11:44:00",2OAJI,-,Abstimmung: xxx,Logdaten,Test Satz erfolgreich,The user with id 2OAJI updated xxx.,web,179.49.49.55,1.4
"12. May 2023, 17:58:00",14LQJV,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 14LQJV created xxx.,web,73.253.31.164,2.9
"12. May 2023, 19:01:00",27KA9H,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 27KA9H viewed the course with id 23946.,ws,112.91.100.43,2.0
"12. May 2023, 19:27:00",14LQJV,-,Aufgabe: Lösungen,Logdaten,Test Satz erfolgreich,The user with id 14LQJV created xxx.,cli,73.253.31.164,3.3
"12. May 2023, 21:59:00",14LQJV,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 14LQJV viewed the course with id 23946.,web,73.253.31.164,2.7
"12. May 2023, 22:17:00",24SGPA,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 24SGPA viewed the course with id 23946.,cli,146.253.0.191,2.9
"12. May 2023, 22:53:00",2160DU,13ESGP,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 2160DU viewed the course with id 23946.,web,217.47.45.224,1.8
"13. April 2023, 01:46:00",260143,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 260143 created xxx.,web,190.29.202.49,3.2
"13. April 2023, 01:48:00",24SGPA,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 24SGPA viewed the course with id 23946.,web,146.253.0.191,3.1
"13. April 2023, 02:01:00",73D0B,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 73D0B viewed the course with id 23946.,web,161.106.110.223,1.9
"13. April 2023, 02:11:00",372V0,-,Abstimmung: xxx,Logdaten,Das ist ein Beispiel,The user with id 372V0 updated xxx.,web,43.62.43.195,2.3
"13. April 2023, 02:21:00",14WQ3Q,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 14WQ3Q viewed the course with id 23946.,ws,218.92.236.236,2.8
"13. April 2023, 02:59:00",1W3IK,-,Abstimmung: xxx,Logdaten,Test Satz erfolgreich,The user with id 1W3IK updated xxx.,web,121.222.7.20,2.9
"13. April 2023, 03:39:00",25NEFW,-,Datei: xxx,Datei,Ein weiterer Satz,The user with id 25NEFW viewed the course with id 23946.,web,22.252.23.174,1.2
"13. April 2023, 03:41:00",260143,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 260143 viewed the course with id 23946.,cli,190.29.202.49,3.2
"13. April 2023, 04:38:00",25NEFW,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 25NEFW updated xxx.,ws,234.79.57.222,1.1
"13. April 2023, 05:10:00",1W3IK,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 1W3IK created xxx.,web,121.222.7.20,2.8
"13. April 2023, 06:09:00",19I42S,-,Link/URL: xxx,Link/URL,Ein weiterer Satz,The user with id 19I42S viewed the course with id 23946.,web,243.22.106.4,2.8
"13. April 2023, 08:13:00",4Z0MB,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 4Z0MB created xxx.,web,200.131.31.148,3.3
"13. April 2023, 08:38:00",2160DU,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 2160DU created xxx.,web,217.47.45.224,2.3
"13. April 2023, 10:55:00",26CC63,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 26CC63 viewed the course with id 23946.,web,176.170.1.63,2.2
"13. April 2023, 11:57:00",25NEFW,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 25NEFW updated xxx.,web,22.252.23.174,1.1
"13. April 2023, 15:13:00",1W3IK,-,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 1W3IK viewed the course with id 23946.,web,121.222.7.20,3.4
"13. April 2023, 16:20:00",24D0AN,-,Abstimmung: xxx,Logdaten,Test Satz erfolgreich,The user with id 24D0AN viewed the course with id 23946.,web,24.239.98.53,4.5
"13. April 2023, 16:20:00",372V0,-,Datei: xxx,Datei,Das ist ein Beispiel,The user with id 372V0 created xxx.,web,43.62.43.195,2.0
"13. April 2023, 17:02:00",24D0AN,-,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 24D0AN created xxx.,web,24.239.98.53,3.7
"13. April 2023, 17:03:00",26O0KW,-,Aufgabe: Lösungen,Logdaten,Test Satz erfolgreich,The user with id 26O0KW updated xxx.,web,65.136.205.127,2.6
